Labels Combination,homogeneity,v_measure,completeness,No. of Clusters,No. of Noise
"('OppoFindX3Neo_A', 'GooglePixel3A_V')",0.0,0.0,1.0,0,0
"('HuaweiHonor9_R', 'XiaomiRedmi4_B')",0.0,0.0,1.0,0,0
"('iPhone11_C', 'SamsungS6_H')",1.0,1.0,1.0,1,0
"('iPhoneXSMax_M', 'OppoFindX3Neo_A')",0.9942545942309307,0.9941085012401829,0.993962451176119,1,0
"('XiaomiRedmi4_B', 'iPhone12_W')",0.0,0.0,1.0,0,0
"('SamsungJ6_K', 'iPhone11_B')",1.0,1.0,1.0,1,0
"('SamsungS4_C', 'SamsungM31_A')",0.0,0.0,1.0,0,0
"('iPhone7_X', 'S21Ultra_M')",0.0,0.0,1.0,0,0
"('XiaomiA2_E', 'iPhoneXR_L')",0.04513576841847075,0.05488069626024778,0.06999218884555783,1,0
"('iPhone11_M', 'HuaweiP10_Q')",1.0,1.0,1.0,1,0
